,Z1,Z2,Z3,Z4,Z5
0,0.45892662,0.2564767,0.04859337,-0.26093575,-0.4763381
1,-0.36748874,-0.03309232,-0.19976103,-0.46764326,0.012610071
2,0.113888584,-0.09304731,0.27779087,-0.13502797,-0.54566985
3,-0.16384412,0.43372652,-0.16746499,0.16351932,-0.004215293
4,-0.39575586,0.040666163,-0.18941903,0.032752387,0.024698392
5,-0.34231707,-0.12633471,0.2250778,-0.38826814,-0.15672763
6,-0.6109618,0.027868936,-0.55758333,-0.40310505,0.22692457
7,-0.10519707,0.3315849,0.059815414,0.5068916,-0.079356916
8,0.22027108,-0.07082524,-0.32440457,0.043010127,0.27105215
9,-0.10384706,0.804451,-0.22127828,0.108467184,0.032540612
10,-0.1534472,-0.45557728,-0.57850176,0.24638185,-0.13672937
11,-0.2824582,0.11112577,-0.3032492,0.4203282,-0.057155408
12,-0.38720804,-0.5684005,0.11841854,-0.14385742,-0.6157952
13,-0.42321324,-0.34899172,0.32889837,-0.21531008,0.38839683
14,0.0005010827,0.15551178,-0.06008273,-0.48462856,-0.3400846
15,-0.19306514,-0.053053655,-0.08930175,-0.21926698,0.16142558
16,-0.20541225,-0.74569106,0.09640615,0.0110746715,-0.30631593
17,0.07692045,0.5053952,0.24442388,-0.5157244,-0.14538106
18,-0.221002,0.3050876,-0.09157533,-0.26604754,0.24209443
19,0.08081866,-0.11654449,0.63678455,0.39157358,-0.13594276
20,-0.4257024,-0.236807,0.030380504,0.5721192,0.2972562
21,0.05896723,0.38755235,0.17019676,0.09721829,-0.21373706
22,-0.42317855,0.20039898,-0.32070085,-0.357264,0.33300298
23,-0.39646888,-0.41898528,-0.12119712,0.047525216,-0.5013849
24,-0.19953243,0.30128303,0.265013,0.40385672,-0.44272396
25,-0.5320997,-0.30780903,-0.5209407,0.25779304,-0.32366443
26,-0.02251028,-0.17109154,0.34833226,-0.05072532,-0.38501614
27,-0.10975761,-0.7479833,-0.2908895,0.048126232,0.13522467
28,0.3445023,-0.21624444,-0.13748989,0.32287356,-0.4073197
29,-0.0023915232,0.3499374,-0.37988746,-0.070989005,0.12868689
30,-0.31514117,0.12501611,0.08048225,-0.4326322,0.25538525
31,-0.4013913,-0.57337403,-0.43024677,0.24125256,-0.019826297
32,-0.24925971,-0.17711641,0.35601655,0.15594572,-0.20547946
33,0.25988635,-0.11695596,0.22418588,0.22022675,-0.1679303
34,0.3533795,0.105997525,0.23014203,0.054664172,-0.2818615
35,0.17111826,0.34838617,0.08853714,-0.035801034,0.14522094
36,-0.3800086,-0.45278487,-0.05058941,-0.71139646,-0.370173
37,-0.096730486,-0.46055084,0.14825408,0.34293538,-0.034587797
38,-0.55589247,0.023377944,0.22842805,-0.08162449,-0.023186607
39,0.040486462,0.4050991,-0.16459994,-0.11413711,-0.52319306
40,-0.5764291,-0.24186634,0.17468424,0.31925645,0.088045664
41,0.0855344,0.4109911,0.3966805,-0.21345621,0.02477249
42,-0.035935074,-0.82236207,-0.22783592,0.04057662,0.12875032
43,0.20072539,-0.4548101,-0.08643467,0.31821606,-0.27621782
44,-0.6286393,-0.053930037,0.30593425,-0.5932309,0.035331354
45,-0.47962865,0.3042842,-0.10156488,-0.1644075,0.32940838
46,0.090771355,-0.23367608,-0.36760476,-0.27173874,-0.033198595
47,0.27358058,0.19017893,-0.32797563,-0.16556732,-0.37747976
48,-0.016400335,-0.45738056,-0.14354803,-0.0020281104,0.25963056
49,0.00762579,-0.06248428,-0.0069617718,0.32319728,-0.5424362
50,-0.07037831,-0.20430532,0.14340474,-0.077397384,0.25638005
51,-0.15766022,0.20014213,0.29383987,-0.16618912,-0.028095594
52,0.52320224,0.20608836,0.25299725,-0.24599445,-0.028082572
53,-0.3264642,-0.11691228,0.5989911,-0.19204503,0.13856989
54,-0.1142772,0.66438156,0.005998546,-0.12983984,-0.112926856
55,-0.31581855,0.07837755,-0.45648867,-0.07281903,0.17857032
56,-0.1682312,0.2690458,-0.17647864,0.39636356,-0.5996212
57,0.122283824,0.36008036,0.035133485,0.15486328,0.23024382
58,-0.33734086,-0.30514345,0.04521207,-0.15149754,0.5937068
59,-0.46825996,-0.19086817,0.44246146,-0.24399209,-0.13511577
60,-0.04248672,-0.10269575,-0.609969,-0.10965042,-0.06211005
61,-0.08199711,-0.08963771,-0.26192185,0.22034185,0.27315518
62,0.24195594,0.6195758,0.19780168,-0.011486388,0.41964784
63,-0.20171513,0.06367555,-0.5667235,-0.37572095,-0.018783147
64,-0.53335977,-0.5484205,0.03173892,-0.024104338,-0.43290457
65,-0.09962002,-0.21761705,-0.037724685,-0.41304627,-0.3574656
66,0.26723596,0.3974315,-0.15116489,0.45332742,-0.09637529
67,-0.12053571,-0.47804385,-0.025585312,-0.7982315,-0.036858596
68,-0.122176446,-0.16099408,-0.6979148,-0.41909418,0.072626784
69,-0.31536725,-0.21991932,-0.540086,-0.49077868,0.15582888
70,-0.104452506,-0.5103357,0.13880822,-0.7374436,0.2698743
71,-0.17292394,0.50781846,0.059604045,-0.11176958,0.16021432
72,-0.58004194,-0.016488854,0.3258676,-0.47602975,-0.02195149
73,-0.61136585,-0.23679313,0.54965115,0.004596102,0.00883316
74,-0.26089284,-0.22237019,0.11161303,0.10818236,-0.27857086
75,-0.10110223,0.13014385,-0.18613127,-0.36163035,0.07258342
76,-0.057425026,-0.0696883,-0.44225696,-0.27999383,0.3962552
77,-0.34399894,0.084880315,-0.2614491,-0.4425463,0.04042178
78,0.2971695,-0.13695873,-0.12539548,0.2674831,-0.40028936
79,-0.13690214,-0.02616496,-0.15325606,-0.39662117,0.40024528
80,0.55283755,-0.3539683,0.296189,0.23187332,-0.466969
81,0.14535937,0.42791033,0.10826332,-0.12088187,-0.6859081
82,0.32600448,-0.24167594,0.17098804,-0.012671478,-0.07789649
83,-0.0054314584,0.3784449,-0.10767954,0.656015,-0.30661613
84,0.2340536,0.48750067,-0.45891637,-0.12122558,-0.12511358
85,0.31261256,0.5148499,-0.45676884,-0.31531754,-0.0603546
86,0.32236788,-0.29703227,-0.36069283,-0.27301836,0.16253005
87,-0.16757636,-0.5669762,-0.039559342,-0.03360063,0.049763855
88,0.26279658,-0.019224847,-0.3123487,0.11091009,-0.039557118
89,-0.48933092,0.25808126,0.0010623545,0.41470012,-0.23420934
90,0.2713645,0.37505895,-0.44358042,0.18514176,-0.20918301
91,-0.39146268,-0.26265937,-0.09559433,0.090346865,-0.09593687
92,-0.401828,-0.45739183,0.5636605,0.17962003,-0.07627055
93,-0.06512374,0.158595,-0.010620478,0.4107439,-0.33098447
94,0.17077883,0.015677737,-0.2930831,-0.29473203,-0.2977849
95,0.1202194,-0.06949889,0.2969769,0.4479753,-0.2707788
96,-0.251882,-0.19790417,-0.39777008,-0.11166305,0.15217371
97,0.4792229,0.16701965,-0.08341699,-0.116224356,-0.17688437
98,0.3286706,-0.41838154,0.16392368,0.27369383,-0.27598485
99,-0.47792342,-0.32358602,0.2694664,0.20370503,0.26077095
100,0.17412262,0.15427497,0.10433176,-0.3768476,-0.01319924
101,-0.26087147,0.06472102,-0.063972086,-0.4364172,0.07464259
102,-0.47856864,0.20051312,0.26874596,-0.18069254,0.037755176
103,0.37021083,-0.1360202,0.37480947,-0.259693,-0.10526933
104,-0.14784415,0.3005083,-0.20933966,-0.117677934,0.3336793
105,0.14724469,-0.5184037,-0.54019517,0.12343448,0.17851943
106,-0.19179969,0.5264622,-0.07185743,0.5690444,-0.010814275
107,-0.154814,0.089415886,0.30965793,0.47860748,0.044444103
108,-0.03812027,0.5576313,0.17920649,-0.13102703,0.15432252
109,-0.19269298,-0.37528723,0.17819397,-0.20682934,-0.37968302
110,-0.3255919,0.10747306,0.35178652,0.03294367,0.11723391
111,0.19218703,0.008244501,0.36555684,-0.014986876,-0.32702687
112,0.2626262,-0.029653555,0.18565616,-0.37658948,-0.022277165
113,-0.28116658,0.18475358,-0.008500277,-0.1838532,0.41021836
114,-0.5936261,-0.10485021,0.2777152,-0.17268267,-0.05153216
115,-0.28430375,-0.2892231,0.34226328,-0.56468606,0.41588292
116,-0.7678551,0.2685535,-0.08986275,-0.110267356,0.27593488
117,0.15647751,0.09615908,-0.15313797,-0.44347784,0.13627689
118,0.10750217,-0.09714607,-0.14594893,-0.65177345,-0.25465128
119,0.49017185,-0.0397199,-0.38537136,0.081859976,-0.11711467
120,-0.06800592,-0.36267364,0.24088679,0.2376053,-0.3748373
121,0.39884862,-0.45142874,0.13518442,-0.006878396,-0.26120326
122,-0.32300502,-0.3360318,0.35443428,-0.6953264,0.19858672
123,0.6885337,-0.16114688,-0.037052862,0.1364717,-0.27591679
124,-0.16676755,0.1406812,-0.45107684,-0.5345862,-0.097054385
125,-0.285185,-0.64954525,0.43944886,-0.17179589,0.11390795
126,0.20678824,-0.45816284,0.31098518,0.24159898,-0.30769885
127,0.023613548,-0.11580124,0.19946635,0.098190665,0.08003574
128,-0.24865098,0.46711937,0.010013699,0.09643937,0.27878258
129,-0.003434266,0.064575106,-0.03675361,-0.36678055,0.354722
130,-0.2300448,0.17761369,-0.15120082,0.5220915,-0.045261152
131,0.10061551,0.079975925,-0.37025857,0.48702794,-0.16062495
132,0.403494,0.13646187,-0.19145457,0.07241806,-0.49924827
133,-0.29239237,0.124794915,0.43639246,-0.5584301,0.1402201
134,0.56531185,-0.11931552,-0.25307035,0.47370124,-0.295124
135,-0.08419943,-0.019981422,-0.03381143,-0.17746532,-0.40920243
136,0.017593283,0.29749367,-0.031675898,0.6275867,-0.16356273
137,0.07628532,-0.32770187,-0.03270661,0.29122972,-0.36252043
138,0.03501178,0.17983559,0.65637374,-0.36976057,0.4252368
139,-0.35515147,-0.30740142,0.67095464,0.29711592,0.009833471
140,-0.23822017,-0.15761602,0.26096982,0.16248372,-0.52691
141,0.2504813,0.53390497,-0.19978575,-0.005526608,-0.07024883
142,0.112796895,-0.06746005,-0.12806882,-0.4170009,-0.078390256
143,-0.5493589,-0.03679023,0.046440147,-0.6014656,-0.101386495
144,-0.23574038,0.7399803,-0.0779037,-0.25361067,0.11733169
145,-0.35788187,-0.015340919,-0.0808239,0.23691005,-0.39437547
146,-0.36770272,-0.027091067,-0.20418178,-0.18510877,0.2637529
147,-0.11111875,-0.024559151,-0.38056365,0.3221092,-0.270439
148,0.18636127,0.16734758,0.019206945,-0.51427114,-0.30356592
149,-0.20854877,-0.5420791,-0.21010244,-0.13771164,-0.02913735
150,-0.23623508,-0.5936208,-0.33977234,-0.04264351,0.027510177
151,-0.23864684,-0.009605141,-0.6569491,-0.42652512,0.13861053
152,0.20191303,0.3190549,-0.17577109,-0.348056,-0.43756086
153,-0.644621,0.03679593,0.32599023,-0.007845893,-0.20436028
154,0.14668922,0.44940895,-0.056814704,-0.10269205,-0.061019376
155,0.028462814,-0.034103785,0.24366866,-0.45305833,0.4593827
156,-0.17214428,0.120377555,-0.47489902,-0.04986932,-0.13650501
157,-0.17401062,0.4212837,0.44143894,0.42097953,-0.5926811
158,0.20564628,-0.13922209,-0.50821555,-0.26374573,0.39247674
159,-0.41708902,-0.10600514,-0.033560053,0.37315375,-0.042558864
160,0.2477929,0.2175563,-0.34813797,0.33382154,-0.44112948
161,-0.056281302,0.10956694,-0.5070504,-0.1939991,-0.15723334
162,-0.09154361,0.5537279,0.46506897,-0.10865824,-0.077811815
163,-0.064330414,0.37737316,0.3374397,0.33816972,-0.5752762
164,-0.31724483,-0.02391878,-0.6303,-0.20016174,-0.058149103
165,-0.13927391,-0.14482708,-0.39623475,-0.12828939,-0.49011979
166,-0.08906913,0.31507033,0.56330544,0.07441478,-0.32791412
167,0.1693993,0.2935579,-0.5116266,-0.07022852,0.08896877
168,0.41766125,-0.12199035,-0.40241948,-0.40011504,0.3119035
169,0.061270017,-0.11512873,-0.0177057,0.048799224,0.2847088
170,-0.6080696,0.15506436,-0.19661237,0.2761831,0.08871678
171,0.49738032,-0.084424935,-0.018494545,0.22146276,-0.36115047
172,-0.007604831,0.03344024,0.18136503,0.129902,-0.40128553
173,-0.26003298,-0.06892384,-0.11175878,-0.4321381,0.22348821
174,-0.18288584,-0.113346726,0.018561132,-0.6518132,0.15620779
175,-0.37552223,-0.5416084,0.4789987,0.10096287,0.13448092
176,0.50335336,-0.23041807,-0.43606198,0.40192774,-0.077538736
177,0.6923883,0.2516005,-0.15583068,-0.4309887,-0.045966595
178,-0.44646195,-0.23903812,-0.06378472,0.32583314,-0.12151731
179,-0.031152477,0.38251895,0.21913674,-0.18983553,0.2543154
180,0.4073306,-0.036788587,0.27310538,0.04978633,-0.4274101
181,0.36809537,0.17254111,0.28710288,0.08488676,0.11098005
182,-0.2874189,-0.27897382,-0.5028581,-0.10234795,0.042726308
183,-0.3297898,-0.33901325,0.508313,0.09683961,-0.27779672
184,-0.25895968,0.40837032,0.38420457,0.42960665,-0.55405205
185,-0.04571611,-0.16935126,-0.57459605,0.0031601286,-0.19820958
186,-0.056626864,0.096555,-0.16381861,-0.059548788,-0.6001376
187,0.0719126,-0.15401375,0.24554898,-0.035328746,0.05098669
188,0.34684145,-0.1511575,0.07766857,0.008333585,-0.20175354
189,-0.2609395,-0.5295058,0.015063369,-0.44897592,-0.19362739
190,-0.067639545,0.76411384,0.38473317,0.14370713,-0.4458218
191,-0.21369247,-0.6259531,-0.6450546,-0.089590065,0.2249976
192,0.2473174,-0.16783275,0.12262327,-0.3787248,0.1414071
193,-0.14883961,0.25489554,-0.36679482,-0.24122074,-0.2677453
194,-0.17069286,0.07808421,0.14495496,0.0827058,-0.7043618
195,-0.30652997,-0.6047536,-0.2418698,-0.23921701,-0.17920926
196,-0.10114181,0.32490802,-0.038438927,-0.15220383,0.28190917
197,-0.0015949137,-0.2244257,0.04841674,0.5495866,0.16533451
198,-0.24790634,-0.20885494,0.16272485,-0.349338,-0.06028138
199,-0.6349973,0.028780643,-0.092839845,0.026804177,0.21344739
200,-0.66723067,0.062803164,0.1240932,-0.50606346,0.13117683
201,-0.44954708,0.46972904,-0.047882892,0.28210896,-0.05850231
202,-0.23865177,-0.1561196,0.17183386,0.16070746,0.16844626
203,0.5309687,0.19430631,0.14064342,-0.038484365,-0.13525505
204,-0.16162476,-0.23338532,0.0055660666,0.18109773,-0.4671944
205,0.5779083,0.06651187,0.0969694,-0.4537321,-0.13159855
206,0.6001106,0.24138184,-0.14899434,-0.41014272,-0.11895391
207,0.13544036,-0.23849928,-0.098992266,0.31653756,-0.28842956
208,-0.025604995,0.6475872,-0.06813932,-0.061744213,0.43022513
209,-0.5265092,-0.11111975,0.25801662,-0.17349193,0.41963747
210,-0.10925147,-0.0032322048,-0.30836913,0.015858138,0.31313106
211,0.4542906,-0.042051043,0.2785737,-0.12594472,0.0026387682
212,-0.3587139,-0.40727973,0.57692116,0.33048326,0.22372387
213,-0.26788458,-0.22230253,0.38148418,0.07878719,0.25588596
214,-0.43665764,0.35773763,0.34080517,-0.1034812,-0.05979944
215,-0.105135456,0.12278394,0.2625047,0.5873937,0.14374767
216,-0.009890747,0.28919226,-0.07352896,0.08725752,0.15412433
217,0.35885143,0.17635521,0.03462259,0.49738935,-0.23525332
218,-0.0808094,0.24952023,-0.2507032,0.17080057,-0.19871774
219,-0.1667631,-0.32547727,-0.29687536,-0.16535407,0.1532822
220,0.18798934,0.56859285,0.31102675,0.15268967,-0.006676733
221,-0.41489628,0.025901733,0.32439476,0.115747906,-0.13275307
222,-0.36119786,-0.101305865,0.2532507,-0.2511018,-0.075357035
223,-0.5447656,0.16154465,0.31721428,-0.5008969,0.06524771
224,0.109531604,-0.34836817,0.48831096,0.08470666,-0.0888001
225,-0.016859202,-0.54511714,-0.0901697,0.019028028,-0.47884482
226,-0.5766025,-0.090573765,-0.0038338525,-0.38239083,-0.1710271
227,0.19219784,-0.55355716,-0.21904413,0.41906118,-0.034349874
228,0.7003995,0.004493349,-0.26560554,0.052588683,-0.12477244
229,-0.1626262,0.047280625,0.5993674,-0.08589627,-0.014867679
230,0.14896375,0.17892425,-0.25371128,-0.140016,0.43709576
231,-0.44322735,0.13695371,0.21394275,-0.18035178,-0.2710192
232,-0.024290396,-0.7350349,0.2405213,-0.36699286,-0.024237307
233,-0.04218277,0.19389261,0.029842712,0.14797278,0.14398327
234,0.16696957,0.3482239,-0.2742458,-0.17763291,-0.22898851
235,-0.047224212,0.7077756,-0.14177655,0.012784033,0.4368199
236,0.3700751,0.021648904,-0.03963559,0.18557198,-0.7329833
237,0.08406776,-0.04404663,-0.51435566,0.03438228,-0.24096738
238,-0.2687712,0.5362266,0.16679,-0.3861954,0.22484882
239,-0.091902,-0.53749895,-0.42471388,0.028072882,-0.029798077
240,-0.24318133,-0.16418393,0.38874534,-0.16154261,-0.022503123
241,-0.4905692,-0.5423192,0.02008936,-0.21731418,-0.27785322
242,-0.08307276,-0.64976865,0.036312696,-0.25571963,-0.14393345
243,0.5968707,-0.13092236,0.253626,-0.002141977,-0.24772675
244,-0.21199688,0.15772372,-0.15390119,0.20895816,-0.19073126
245,-0.22690105,0.16643102,-0.2331368,-0.347607,-0.100929156
246,-0.48188013,0.15831405,0.45775574,-0.58214945,0.30099192
247,-0.2756937,0.28069413,0.080120414,-0.1192736,0.34370777
248,-0.17009738,-0.111471295,-0.060568202,0.46936646,0.23359166
249,-0.10117192,0.43041033,0.49086693,-0.29620567,0.0037900538
250,-0.06792714,0.5828943,0.52982545,-0.107978135,-0.3758405
251,-0.116640545,-0.0049693678,0.056244686,-0.008082546,-0.10071203
252,0.26190662,0.37537673,0.3545324,-0.28099364,-0.0606758
253,0.3969409,0.47633946,-0.47739133,-0.11129393,-0.037249546
254,0.052286495,0.105980225,-0.19266492,0.5839779,-0.21000694
255,0.41086188,0.49958515,-0.600074,-0.31756344,-0.26199523
256,-0.1324321,-0.5268996,-0.22426787,-0.51031363,0.1560409
257,-0.20793334,-0.31649882,0.19178124,-0.10975972,-0.5902439
258,-0.038867906,0.55988634,-0.19153227,0.48318973,-0.48897398
259,0.02312208,0.20787692,-0.45642307,-0.28710043,0.18642451
260,-0.51043135,-0.21649693,-0.039718214,0.23940125,0.17161903
261,-0.24731714,0.47325137,-0.2955387,-0.14723492,0.2288493
262,-0.32403088,-0.19600576,-0.25635597,0.17490159,-0.33122164
263,-0.4094991,-0.6168342,-0.063146666,-0.04740326,-0.38374084
264,-0.118842416,-0.463027,-0.44921577,0.33829415,-0.09417163
265,0.11744821,0.04313071,0.31332588,-0.045587044,-0.46666628
266,-0.1801174,-0.53131664,-0.5305646,0.17203379,0.07545787
267,0.061530255,0.106398985,-0.4541185,-0.1669675,0.33017126
268,-0.44991454,-0.026744084,0.36767557,-0.33146092,-0.21398024
269,0.24464059,0.32432726,-0.633388,-0.29955024,0.113665745
270,0.24698165,-0.279277,-0.0820373,0.15819998,-0.050851736
271,0.26513976,0.4238149,0.32033873,0.0046388325,-0.058732264
272,-0.46906525,0.097320765,0.09480085,-0.10442462,-0.24267
273,0.2040491,0.39789537,0.18689324,0.14651138,0.3000615
274,0.12682104,-0.02697834,-0.14269453,0.22388868,-0.5407795
275,-0.2832446,0.026361344,-0.24109349,0.20034847,0.2146805
276,-0.1896346,-0.058162697,-0.32084724,0.0864707,0.049102373
277,0.2100036,-0.066658795,-0.04469376,0.123752594,0.030401034
278,-0.09501991,0.35611773,0.04215227,-0.0836099,-0.27574122
279,0.32315046,0.23760252,-0.03237558,-0.400908,-0.20142524
280,0.33793554,0.46521267,-0.014398853,-0.25245774,-0.182591
281,-0.058163583,-0.023262832,-0.27713266,0.15564351,-0.67770624
282,-0.82088333,-0.21789934,0.50805414,0.0065472494,-0.35044065
283,-0.14998288,0.113539666,-0.040713288,-0.02028042,0.58423924
284,-0.0758854,0.424006,-0.08269837,-0.44565946,-0.22384757
285,-0.059963483,-0.30647877,-0.5248844,0.40598992,-0.2567256
286,-0.2141499,-0.7453538,-0.0802139,-0.036440596,-0.17335603
287,0.13247016,0.19018146,0.2619838,-0.28952858,0.10727792
288,-0.11678833,0.5736869,0.101205744,0.21642146,-0.36896858
289,0.18167865,0.24912603,-0.13109301,0.017654564,0.10968652
290,-0.28521055,-0.4601625,-0.011749236,-0.60970587,-0.16554585
291,-0.30031094,-0.2799423,0.21117076,-0.20764618,0.02014859
292,-0.0071951738,0.5085897,0.079774864,-0.10418857,0.44142976
293,0.1790724,0.54048765,-0.40625086,0.14196102,-0.24324924
294,0.027953815,-0.119420126,-0.3297892,-0.5491182,-0.061023742
295,-0.17064933,0.5150052,-0.048248034,-0.4346394,-0.085630976
296,-0.38838935,-0.55047613,0.39510912,0.055121608,-0.09432706
297,-0.06465895,-0.33116347,-0.1519213,-0.030798325,-0.1472156
298,-0.367351,-0.30124867,0.43878725,-0.14005524,0.20026049
299,0.10877609,0.47650906,-0.25699097,-0.033533208,0.3684067
300,-0.42359623,-0.084629975,-0.33116996,-0.30034107,0.50515777
301,0.34974223,0.5230737,0.0020572566,-0.2379311,-0.20639734
302,-0.35879526,-0.054065228,0.09093501,0.49473304,-0.1467374
303,0.033863373,0.15957835,0.29039854,0.08216069,0.266861
304,0.26297224,0.6680232,-0.11581744,-0.058710042,0.3221797
305,-0.12478499,0.22258902,-0.16007008,-0.36817077,0.37826878
306,-0.38829976,0.05239431,0.27004603,-0.558563,0.17654365
307,0.0076590525,0.40560886,-0.25902945,-0.26558772,-0.15188904
308,-0.1324723,-0.1065252,-0.5066063,-0.06801384,-0.49391595
309,-0.41051516,0.27737346,-0.45439875,-0.33148357,0.2013292
310,-0.09019309,-0.6843353,-0.3326676,0.035977926,0.05003636
311,-0.27811345,0.07915052,0.09239332,0.1195937,0.27443287
312,0.1682609,-0.6700156,-0.11433782,-0.35890192,0.10614073
313,0.056536257,-0.47336707,-0.4297608,0.3708758,-0.2847236
314,-0.092657566,-0.28061774,0.33948913,0.13158807,0.08743066
315,0.3976946,0.037015714,-0.40137902,-0.044941824,-0.2662542
316,-0.097330436,0.1910468,0.39053282,-0.23864429,0.41668248
317,-0.5598711,-0.44423363,-0.11088438,0.16566747,-0.4337907
318,0.023803772,0.018461805,0.33864433,0.12627976,-0.14097539
319,0.36643046,0.1123361,-0.11419679,0.07148749,-0.59282863
320,0.082363844,0.33197358,-0.043640684,0.5179657,-0.46171057
321,0.36696714,0.20767973,-0.38599068,-0.40051937,-0.21455255
322,-0.24658465,-0.0050554127,0.27501145,0.009113193,0.054912977
323,-0.23161638,-0.024055619,0.36160007,0.4461866,0.1774064
324,-0.15845858,-0.5723106,0.43370026,0.2379003,-0.07784972
325,0.02803205,0.668643,-0.24026732,0.24052653,-0.31476998
326,-0.2870578,-0.29709753,0.016645936,-0.31354973,-0.2731681
327,0.101425044,-0.018399013,-0.18387787,-0.070913374,-0.032589138
328,-0.4409809,-0.21824968,0.3943258,0.11708036,-0.40991065
329,0.31842852,0.17151722,-0.05242068,-0.15578237,0.31966332
330,0.66788393,-0.087378345,0.14740363,-0.083233394,-0.37748453
331,-0.5306197,0.011322321,-0.103122145,-0.55922973,0.15096657
332,0.26581538,0.14699799,-0.054602355,0.4211643,-0.37604102
